date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:43:08	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2012%20Jan%202025%2000:43:53%20GMT	https://web.archive.org/web/20130530032451/http://www.nplay.com/videos	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/web/20130530032451/http_/www.nplay.com/videos	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:43:08	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2012%20Jan%202025%2000:43:53%20GMT	https://web.archive.org/web/20130530032451/http://www.nplay.com/search	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/web/20130530032451/http_/www.nplay.com/search	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:43:09	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2012%20Jan%202025%2000:43:53%20GMT	https://web.archive.org/web/20130530032451im_/http://www.nplay.com/images/screenshots/BeGone_FreeOnlineGame_0.jpg	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/web/20130530032451im_/http_/www.nplay.com/images/screenshots/BeGone_FreeOnlineGame_0.jpg	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:43:09	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2012%20Jan%202025%2000:43:54%20GMT	https://web.archive.org/web/20130530032451/http://www.nplay.com/BeGone/	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/web/20130530032451/http_/www.nplay.com/BeGone/index.html	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:43:10	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2012%20Jan%202025%2000:43:55%20GMT	https://web.archive.org/web/20130530032451im_/http://www.nplay.com/images/screenshots/BeGone_FreeOnlineGame_1.jpg	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/web/20130530032451im_/http_/www.nplay.com/images/screenshots/BeGone_FreeOnlineGame_1.jpg	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:43:10	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2012%20Jan%202025%2000:43:55%20GMT	https://web.archive.org/web/20130530032451im_/http://www.nplay.com/images/screenshots/BeGone_FreeOnlineGame_2.jpg	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/web/20130530032451im_/http_/www.nplay.com/images/screenshots/BeGone_FreeOnlineGame_2.jpg	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:43:11	151938/151938	---M--	200	added ('OK')	image/jpeg	date:Sun,%2012%20Jan%202025%2000:43:55%20GMT	https://web.archive.org/web/20130424133742im_/http://www.nplay.com/images/screenshots/BeGone_FreeOnlineGame_1.jpg	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/web/20130424133742im_/http_/www.nplay.com/images/screenshots/BeGone_FreeOnlineGame_1.jpg	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:43:11	121467/121467	---M--	200	added ('OK')	image/jpeg	date:Sun,%2012%20Jan%202025%2000:43:54%20GMT	https://web.archive.org/web/20130424124013im_/http://www.nplay.com/images/screenshots/BeGone_FreeOnlineGame_0.jpg	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/web/20130424124013im_/http_/www.nplay.com/images/screenshots/BeGone_FreeOnlineGame_0.jpg	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:43:11	64254/64254	---M--	200	added ('OK')	image/jpeg	date:Sun,%2012%20Jan%202025%2000:43:56%20GMT	https://web.archive.org/web/20130809004901im_/http://www.nplay.com/images/screenshots/BeGone_FreeOnlineGame_2.jpg	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/web/20130809004901im_/http_/www.nplay.com/images/screenshots/BeGone_FreeOnlineGame_2.jpg	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:43:11	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2012%20Jan%202025%2000:43:56%20GMT	https://web.archive.org/web/20130530032451im_/http://www.nplay.com/images/screenshots/BeGone_FreeOnlineGame_3.jpg	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/web/20130530032451im_/http_/www.nplay.com/images/screenshots/BeGone_FreeOnlineGame_3.jpg	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:43:11	126191/126191	---M--	200	added ('OK')	image/jpeg	date:Sun,%2012%20Jan%202025%2000:43:56%20GMT	https://web.archive.org/web/20130809050645im_/http://www.nplay.com/images/screenshots/BeGone_FreeOnlineGame_3.jpg	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/web/20130809050645im_/http_/www.nplay.com/images/screenshots/BeGone_FreeOnlineGame_3.jpg	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:43:11	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2012%20Jan%202025%2000:43:56%20GMT	https://web.archive.org/web/20130530032451im_/http://www.nplay.com/images/screenshots/BeGone_FreeOnlineGame_4.jpg	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/web/20130530032451im_/http_/www.nplay.com/images/screenshots/BeGone_FreeOnlineGame_4.jpg	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:43:12	204493/204493	---M--	200	added ('OK')	image/jpeg	date:Sun,%2012%20Jan%202025%2000:43:57%20GMT	https://web.archive.org/web/20130424110700im_/http://www.nplay.com/images/screenshots/BeGone_FreeOnlineGame_4.jpg	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/web/20130424110700im_/http_/www.nplay.com/images/screenshots/BeGone_FreeOnlineGame_4.jpg	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:43:12	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2012%20Jan%202025%2000:43:57%20GMT	https://web.archive.org/web/20130530032451im_/http://www.nplay.com/images/screenshots/BeGone_FreeOnlineGame_5.jpg	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/web/20130530032451im_/http_/www.nplay.com/images/screenshots/BeGone_FreeOnlineGame_5.jpg	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:43:12	136650/136650	---M--	200	added ('OK')	image/jpeg	date:Sun,%2012%20Jan%202025%2000:43:57%20GMT	https://web.archive.org/web/20130424094858im_/http://www.nplay.com/images/screenshots/BeGone_FreeOnlineGame_5.jpg	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/web/20130424094858im_/http_/www.nplay.com/images/screenshots/BeGone_FreeOnlineGame_5.jpg	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:43:12	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2012%20Jan%202025%2000:43:57%20GMT	https://web.archive.org/web/20130530032451im_/http://www.nplay.com/images/screenshots/BeGone_FreeOnlineGame_6.jpg	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/web/20130530032451im_/http_/www.nplay.com/images/screenshots/BeGone_FreeOnlineGame_6.jpg	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:43:13	141697/141697	---M--	200	added ('OK')	image/jpeg	date:Sun,%2012%20Jan%202025%2000:43:58%20GMT	https://web.archive.org/web/20130424133040im_/http://www.nplay.com/images/screenshots/BeGone_FreeOnlineGame_6.jpg	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/web/20130424133040im_/http_/www.nplay.com/images/screenshots/BeGone_FreeOnlineGame_6.jpg	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
